Codi_Districte,Nom_Districte,Concepte,Rang_soroll,Valor
1,Ciutat Vella,TOTAL_D,<40 dB,5.60%
1,Ciutat Vella,TOTAL_D,40-45 dB,21.83%
1,Ciutat Vella,TOTAL_D,45-50 dB,12.66%
1,Ciutat Vella,TOTAL_D,50-55 dB,15.26%
1,Ciutat Vella,TOTAL_D,55-60 dB,20.28%
1,Ciutat Vella,TOTAL_D,60-65 dB,16.81%
1,Ciutat Vella,TOTAL_D,65-70 dB,5.30%
1,Ciutat Vella,TOTAL_D,70-75 dB,2.20%
1,Ciutat Vella,TOTAL_D,75-80 dB,0.06%
1,Ciutat Vella,TOTAL_D,>=80 dB,0.00%
2,Eixample,TOTAL_D,<40 dB,0.12%
2,Eixample,TOTAL_D,40-45 dB,4.44%
2,Eixample,TOTAL_D,45-50 dB,30.09%
2,Eixample,TOTAL_D,50-55 dB,2.38%
2,Eixample,TOTAL_D,55-60 dB,7.65%
2,Eixample,TOTAL_D,60-65 dB,9.60%
2,Eixample,TOTAL_D,65-70 dB,26.42%
2,Eixample,TOTAL_D,70-75 dB,18.34%
2,Eixample,TOTAL_D,75-80 dB,0.96%
2,Eixample,TOTAL_D,>=80 dB,0.00%
3,Sants-Montjuïc,TOTAL_D,<40 dB,6.46%
3,Sants-Montjuïc,TOTAL_D,40-45 dB,18.73%
3,Sants-Montjuïc,TOTAL_D,45-50 dB,12.19%
3,Sants-Montjuïc,TOTAL_D,50-55 dB,10.82%
3,Sants-Montjuïc,TOTAL_D,55-60 dB,15.74%
3,Sants-Montjuïc,TOTAL_D,60-65 dB,18.67%
3,Sants-Montjuïc,TOTAL_D,65-70 dB,12.13%
3,Sants-Montjuïc,TOTAL_D,70-75 dB,5.26%
3,Sants-Montjuïc,TOTAL_D,75-80 dB,0.00%
3,Sants-Montjuïc,TOTAL_D,>=80 dB,0.00%
4,Les Corts,TOTAL_D,<40 dB,0.35%
4,Les Corts,TOTAL_D,40-45 dB,15.90%
4,Les Corts,TOTAL_D,45-50 dB,11.89%
4,Les Corts,TOTAL_D,50-55 dB,8.73%
4,Les Corts,TOTAL_D,55-60 dB,17.98%
4,Les Corts,TOTAL_D,60-65 dB,21.95%
4,Les Corts,TOTAL_D,65-70 dB,13.68%
4,Les Corts,TOTAL_D,70-75 dB,9.52%
4,Les Corts,TOTAL_D,75-80 dB,0.00%
4,Les Corts,TOTAL_D,>=80 dB,0.00%
5,Sarrià-Sant Gervasi,TOTAL_D,<40 dB,1.64%
5,Sarrià-Sant Gervasi,TOTAL_D,40-45 dB,12.69%
5,Sarrià-Sant Gervasi,TOTAL_D,45-50 dB,17.07%
5,Sarrià-Sant Gervasi,TOTAL_D,50-55 dB,12.33%
5,Sarrià-Sant Gervasi,TOTAL_D,55-60 dB,18.28%
5,Sarrià-Sant Gervasi,TOTAL_D,60-65 dB,16.28%
5,Sarrià-Sant Gervasi,TOTAL_D,65-70 dB,10.48%
5,Sarrià-Sant Gervasi,TOTAL_D,70-75 dB,10.88%
5,Sarrià-Sant Gervasi,TOTAL_D,75-80 dB,0.35%
5,Sarrià-Sant Gervasi,TOTAL_D,>=80 dB,0.00%
6,Gràcia,TOTAL_D,<40 dB,2.07%
6,Gràcia,TOTAL_D,40-45 dB,17.42%
6,Gràcia,TOTAL_D,45-50 dB,13.62%
6,Gràcia,TOTAL_D,50-55 dB,9.85%
6,Gràcia,TOTAL_D,55-60 dB,16.44%
6,Gràcia,TOTAL_D,60-65 dB,15.39%
6,Gràcia,TOTAL_D,65-70 dB,17.01%
6,Gràcia,TOTAL_D,70-75 dB,7.68%
6,Gràcia,TOTAL_D,75-80 dB,0.52%
6,Gràcia,TOTAL_D,>=80 dB,0.00%
7,Horta-Guinardó,TOTAL_D,<40 dB,4.43%
7,Horta-Guinardó,TOTAL_D,40-45 dB,21.47%
7,Horta-Guinardó,TOTAL_D,45-50 dB,13.42%
7,Horta-Guinardó,TOTAL_D,50-55 dB,12.09%
7,Horta-Guinardó,TOTAL_D,55-60 dB,17.28%
7,Horta-Guinardó,TOTAL_D,60-65 dB,14.24%
7,Horta-Guinardó,TOTAL_D,65-70 dB,12.31%
7,Horta-Guinardó,TOTAL_D,70-75 dB,4.65%
7,Horta-Guinardó,TOTAL_D,75-80 dB,0.11%
7,Horta-Guinardó,TOTAL_D,>=80 dB,0.00%
8,Nou Barris,TOTAL_D,<40 dB,3.82%
8,Nou Barris,TOTAL_D,40-45 dB,17.79%
8,Nou Barris,TOTAL_D,45-50 dB,13.91%
8,Nou Barris,TOTAL_D,50-55 dB,14.25%
8,Nou Barris,TOTAL_D,55-60 dB,22.31%
8,Nou Barris,TOTAL_D,60-65 dB,15.35%
8,Nou Barris,TOTAL_D,65-70 dB,9.90%
8,Nou Barris,TOTAL_D,70-75 dB,2.61%
8,Nou Barris,TOTAL_D,75-80 dB,0.06%
8,Nou Barris,TOTAL_D,>=80 dB,0.00%
9,Sant Andreu,TOTAL_D,<40 dB,2.06%
9,Sant Andreu,TOTAL_D,40-45 dB,14.21%
9,Sant Andreu,TOTAL_D,45-50 dB,13.67%
9,Sant Andreu,TOTAL_D,50-55 dB,11.36%
9,Sant Andreu,TOTAL_D,55-60 dB,19.81%
9,Sant Andreu,TOTAL_D,60-65 dB,18.17%
9,Sant Andreu,TOTAL_D,65-70 dB,14.77%
9,Sant Andreu,TOTAL_D,70-75 dB,5.95%
9,Sant Andreu,TOTAL_D,75-80 dB,0.00%
9,Sant Andreu,TOTAL_D,>=80 dB,0.00%
10,Sant Martí,TOTAL_D,<40 dB,0.95%
10,Sant Martí,TOTAL_D,40-45 dB,11.40%
10,Sant Martí,TOTAL_D,45-50 dB,13.81%
10,Sant Martí,TOTAL_D,50-55 dB,13.05%
10,Sant Martí,TOTAL_D,55-60 dB,20.95%
10,Sant Martí,TOTAL_D,60-65 dB,20.27%
10,Sant Martí,TOTAL_D,65-70 dB,13.72%
10,Sant Martí,TOTAL_D,70-75 dB,5.81%
10,Sant Martí,TOTAL_D,75-80 dB,0.04%
10,Sant Martí,TOTAL_D,>=80 dB,0.00%
1,Ciutat Vella,TOTAL_E,<40 dB,15.34%
1,Ciutat Vella,TOTAL_E,40-45 dB,17.78%
1,Ciutat Vella,TOTAL_E,45-50 dB,11.68%
1,Ciutat Vella,TOTAL_E,50-55 dB,16.54%
1,Ciutat Vella,TOTAL_E,55-60 dB,20.13%
1,Ciutat Vella,TOTAL_E,60-65 dB,12.81%
1,Ciutat Vella,TOTAL_E,65-70 dB,4.79%
1,Ciutat Vella,TOTAL_E,70-75 dB,0.93%
1,Ciutat Vella,TOTAL_E,75-80 dB,0.00%
1,Ciutat Vella,TOTAL_E,>=80 dB,0.00%
2,Eixample,TOTAL_E,<40 dB,0.14%
2,Eixample,TOTAL_E,40-45 dB,17.44%
2,Eixample,TOTAL_E,45-50 dB,21.78%
2,Eixample,TOTAL_E,50-55 dB,1.30%
2,Eixample,TOTAL_E,55-60 dB,6.10%
2,Eixample,TOTAL_E,60-65 dB,13.12%
2,Eixample,TOTAL_E,65-70 dB,30.77%
2,Eixample,TOTAL_E,70-75 dB,9.34%
